                           ,,,,,,,,,,,,,,
,Date,Unit,Buying Price VND,Selling Price VND,Quantity Sold,Location Market,Region,Egg Type,Feed Cost VND,Buyer Type,Weather Condition,Event Impact,Source,Notes
,2015-10-25,per_egg,,3.700,,market in Ho Chi Minh ,South Vietnam,caged,,household,N/A,supply decreases and demand increases: African Swine Fever makes people choose other food source instead (poultry meat/eggs),,"the website is updated on a daily basis

"
,2022-05-17,per_egg,,2.200,,market in Can Tho,West Vietnam,caged,,retailer,N/A,,https://nhachannuoi.vn/gia-trung-ga-vit-tang-manh-2-000-5-000-dong-chuc/,"the website is updated on a daily basis

"
,2022-05-17,per_egg,,2.400,,market in Can Tho,West Vietnam,caged,,retailer,N/A,,https://nhachannuoi.vn/gia-trung-ga-vit-tang-manh-2-000-5-000-dong-chuc/,"the website is updated on a daily basis

"
,2022-05-17,per_egg,,3.500,,market in Can Tho,West Vietnam,duck  ,,household,N/A,,https://nhachannuoi.vn/gia-trung-ga-vit-tang-manh-2-000-5-000-dong-chuc/,"the website is updated on a daily basis

"
,2022-05-17,per_egg,,3.250,,MM Mega Market An Phu in HCM,South Vietnam,N/A,,household,,,https://nhachannuoi.vn/gia-trung-ga-vit-tang-manh-2-000-5-000-dong-chuc/,"the website is updated on a daily basis

"
,2022-05-17,per_egg,,2.850,,MM Mega Market An Phu in HCM,South Vietnam,N/A,,household,,,https://nhachannuoi.vn/gia-trung-ga-vit-tang-manh-2-000-5-000-dong-chuc/,"the website is updated on a daily basis

"
,2022-05-17,per_egg,,4.400,,market in HCM,South Vietnam,caged,,household,,,,"the website is updated on a daily basis

"
,2022-05-17,per_egg,,3.600,,market in HCM,South Vietnam,caged,,household,,,,"the website is updated on a daily basis

"
,2022-06-13,per_egg,,3.150,,market in HCM,South Vietnam,caged,,household,,,https://nhachannuoi.vn/tu-15-6-gia-trung-ga-vit-binh-on-tang-2-000-dong-chuc/,"the website is updated on a daily basis

"
,2022-06-13,per_egg,,2.500,,market in HCM,South Vietnam,duck,,household,,,https://nhachannuoi.vn/tu-15-6-gia-trung-ga-vit-binh-on-tang-2-000-dong-chuc/,"the website is updated on a daily basis

"
,2022-06-27,per_egg,,2.000,,N/A,N/A,N/A,,household,,,,"the website is updated on a daily basis

"
,2022-06-27,per_egg,,5.000,,N/A,N/A,N/A,,household,,,,"the website is updated on a daily basis

"
,2022-06-28,per_egg,,2.300,,market in Hau Giang,West Vietnam,caged,,retailer,,,,"the website is updated on a daily basis

"
,2022-06-29,per_egg,,2.500,,market in An Giang,West Vietnam,caged,,retailer,,"Egg prices are surging because prolonged low prices over the past 2 years forced many farms to reduce or stop raising flocks (sharply cutting supply), while African swine fever reduced pork consumption, shifting demand to poultry, eggs, and seafood (boosting egg demand).",https://danviet.vn/dien-bien-gia-trung-gia-cam-tang-cao-nhieu-doanh-nghiep-dang-xuat-khau-trung-sang-campuchia-d1353967.html,"the website is updated on a daily basis

"
,2022-12-14,per_egg,,2.500,,N/A,Central Vietnam,duck,,household,,,https://nhachannuoi.vn/nghe-an-trung-ga-vit-giam-gia-sau-nguoi-chan-nuoi-ban-thao-vit-de/,"the website is updated on a daily basis

"
,2022-12-14,per_egg,,1.900,,N/A,Central Vietnam,caged,,household,,,https://nhachannuoi.vn/nghe-an-trung-ga-vit-giam-gia-sau-nguoi-chan-nuoi-ban-thao-vit-de/,"the website is updated on a daily basis

"
,2022-12-14,per_egg,,2.500,,N/A,Central Vietnam,caged,,household,,,https://nhachannuoi.vn/nghe-an-trung-ga-vit-giam-gia-sau-nguoi-chan-nuoi-ban-thao-vit-de/,"the website is updated on a daily basis

"
,2023-03-03,per_egg,,3.000,,N/A,Mekong Delta,duck,,household,,oversupply,https://nhachannuoi.vn/can-tho-gia-trung-gia-cam-va-de-thit-giam/,"the website is updated on a daily basis

"
,2023-03-04,per_egg,,2.650,,N/A,Mekong Delta,caged,,household,,oversupply,https://nhachannuoi.vn/can-tho-gia-trung-gia-cam-va-de-thit-giam/,"the website is updated on a daily basis

"
